engine_id,cylinder,frequency_khz,column,amplitude_mv,imputed_value_mv,was_imputed,signed_deviation,anomaly_score,is_suspicious
test_0000,1,0,mV_0,31.388,,False,-1.7636340868681228,1.1368594410817114,False
test_0000,1,1,mV_1,27.459,,False,-1.0201695905906,1.1877425847080776,False
test_0000,1,2,mV_2,21.718,,False,-0.9469970707829872,1.142562723702968,False
test_0000,1,3,mV_3,23.7,,False,-1.6560871626552975,1.4302517578266118,False
test_0000,1,4,mV_4,32.478,,False,-1.4618356352128652,1.5052250977385975,False
test_0000,1,5,mV_5,40.316,,False,-1.441141957873362,1.4025501705403955,False
test_0000,1,6,mV_6,46.006,,False,-1.2660811312019928,1.3166634955854355,False
test_0000,1,7,mV_7,50.194,,False,-1.2933497620643943,1.261667930101708,False
test_0000,1,8,mV_8,51.718,,False,-1.19389106507605,1.2465538990840352,False
test_0000,1,9,mV_9,51.414,,False,-1.305083704119647,1.3153820190563925,False
test_0000,1,10,mV_10,47.32,,False,-1.4574696029102268,1.435444021048908,False
test_0000,1,11,mV_11,40.234,,False,-1.5217531742555315,1.4786599470544648,False
test_0000,1,12,mV_12,33.746,,False,-1.4136638367965697,1.3850644326522095,False
test_0000,1,13,mV_13,28.787,,False,-1.1911768827601668,1.2444128105286827,False
test_0000,1,14,mV_14,24.923,,False,-1.181633639797828,1.2486900983315516,False
test_0000,1,15,mV_15,22.882,,False,-1.440316230970384,1.295328397197984,False
test_0000,1,16,mV_16,24.746,,False,-1.1190474870533398,1.1746422628753064,False
test_0000,1,17,mV_17,28.283,,False,-1.0201578464241619,0.9542619228046358,False
test_0000,1,18,mV_18,31.456,,False,-0.6576845113168803,0.7296941460040698,False
test_0000,1,19,mV_19,30.684,,False,-0.5832497149583566,0.5662969267411873,False
test_0000,1,20,mV_20,30.51,,False,-0.4410037657311553,0.3663143116051668,False
test_0000,2,0,mV_0,37.032,,False,0.511814715574139,0.39445691610219885,False
test_0000,2,1,mV_1,31.706,,False,0.5541982332605173,0.6708378580311922,False
test_0000,2,2,mV_2,26.391,,False,1.063140250029595,1.1444209460661352,False
test_0000,2,3,mV_3,31.481,,False,1.8972050509448337,1.6498484665634958,False
test_0000,2,4,mV_4,40.384,,False,1.741843514334721,1.6150869466577749,False
test_0000,2,5,mV_5,46.839,,False,1.0794557070168238,1.1947170902524096,False
test_0000,2,6,mV_6,51.663,,False,0.8781134326412693,0.8569471809111148,False
test_0000,2,7,mV_7,55.515,,False,0.5921061513450967,0.6267239363378139,False
test_0000,2,8,mV_8,56.546,,False,0.44457001001979257,0.4638239031522239,False
test_0000,2,9,mV_9,56.444,,False,0.3740494412242138,0.30528675362673574,False
test_0000,2,10,mV_10,51.535,,False,-0.02847812203872281,0.16465775774072153,False
test_0000,2,11,mV_11,43.938,,False,-0.22762534566122675,0.24739922074215587,False
test_0000,2,12,mV_12,36.174,,False,-0.5058680696074471,0.44010363222742177,False
test_0000,2,13,mV_13,30.475,,False,-0.5210530440335662,0.41214207804517755,False
