engine_id,cylinder,frequency_khz,column,amplitude_mv,signed_deviation,anomaly_score,is_suspicious
test_0000,1,0,mV_0,31.388,-1.7636340868681228,1.1368594410817114,False
test_0000,1,1,mV_1,27.459,-1.0201695905906,1.1877425847080776,False
test_0000,1,2,mV_2,21.718,-0.9469970707829872,1.142562723702968,False
test_0000,1,3,mV_3,23.7,-1.6560871626552975,1.4302517578266118,False
test_0000,1,4,mV_4,32.478,-1.4618356352128652,1.5052250977385975,False
test_0000,1,5,mV_5,40.316,-1.441141957873362,1.4137520416665335,False
test_0000,1,6,mV_6,46.006,-1.3108886157065442,1.3390672378377113,False
test_0000,1,7,mV_7,50.194,-1.2933497620643943,1.2728698012278457,False
test_0000,1,8,mV_8,51.718,-1.19389106507605,1.2465538990840352,False
test_0000,1,9,mV_9,51.414,-1.305083704119647,1.3153820190563925,False
test_0000,1,10,mV_10,47.32,-1.4574696029102268,1.435444021048908,False
test_0000,1,11,mV_11,40.234,-1.5217531742555315,1.4786599470544648,False
test_0000,1,12,mV_12,33.746,-1.4136638367965697,1.3850644326522095,False
test_0000,1,13,mV_13,28.787,-1.1911768827601668,1.2444128105286827,False
test_0000,1,14,mV_14,24.923,-1.181633639797828,1.267130304416325,False
test_0000,1,15,mV_15,22.882,-1.5140770553094767,1.3322088093675304,False
test_0000,1,16,mV_16,24.746,-1.1190474870533398,1.1930824689600796,False
test_0000,1,17,mV_17,28.283,-1.0201578464241619,0.9317975710978158,False
test_0000,1,18,mV_18,31.456,-0.5678271044896,0.6847654425904297,False
test_0000,1,19,mV_19,30.684,-0.5832497149583566,0.5577364437595019,False
test_0000,1,20,mV_20,30.51,-0.4966192406316945,0.3941220490554364,False
test_0000,2,0,mV_0,37.032,0.511814715574139,0.39445691610219885,False
test_0000,2,1,mV_1,31.706,0.5541982332605173,0.6708378580311922,False
test_0000,2,2,mV_2,26.391,1.063140250029595,1.1444209460661352,False
test_0000,2,3,mV_3,31.481,1.8972050509448337,1.6498484665634958,False
test_0000,2,4,mV_4,40.384,1.741843514334721,1.6150869466577749,False
test_0000,2,5,mV_5,46.839,1.0794557070168238,1.1835152191262717,False
test_0000,2,6,mV_6,51.663,0.8333059481367179,0.8345434386588391,False
test_0000,2,7,mV_7,55.515,0.5921061513450967,0.615522065211676,False
test_0000,2,8,mV_8,56.546,0.44457001001979257,0.4638239031522239,False
